dayname,minutes_watched,date_watched,weekday,date_watched_m,date_watched_m_n,student_country
Wednesday,36.0,2022-01-12,2,1,January,IN
Monday,68.3,2022-01-10,0,1,January,IN
Saturday,4.9,2022-01-29,5,1,January,IN
Monday,2.9,2022-01-31,0,1,January,IN
Thursday,31.5,2022-01-13,3,1,January,IN
Tuesday,60.5,2022-01-18,1,1,January,IN
Friday,22.1,2022-01-14,4,1,January,IN
Saturday,3.0,2022-01-15,5,1,January,IN
Sunday,5.9,2022-01-16,6,1,January,IN
Wednesday,1.0,2022-01-19,2,1,January,IN
Thursday,47.9,2022-01-20,3,1,January,IN
Monday,16.9,2022-01-24,0,1,January,IN
Wednesday,31.8,2022-01-26,2,1,January,IN
Saturday,0.1,2022-01-01,5,1,January,IN
Saturday,1.3,2022-01-01,5,1,January,US
Saturday,0.3,2022-01-01,5,1,January,IN
Saturday,0.4,2022-01-01,5,1,January,IN
Monday,46.3,2022-03-21,0,3,March,IN
Saturday,0.9,2022-01-01,5,1,January,IN
Wednesday,13.2,2022-01-05,2,1,January,IN
Thursday,14.4,2022-01-06,3,1,January,IN
Sunday,42.3,2022-01-09,6,1,January,IN
Sunday,70.4,2022-03-06,6,3,March,IN
Friday,36.2,2022-03-18,4,3,March,IN
Friday,71.0,2022-03-11,4,3,March,IN
Sunday,3.6,2022-03-13,6,3,March,IN
Tuesday,0.1,2022-03-01,1,3,March,IN
Monday,0.3,2022-02-28,0,2,February,IN
Saturday,1.3,2022-01-01,5,1,January,IN
Saturday,21.9,2022-01-01,5,1,January,GB
Saturday,6.9,2022-01-01,5,1,January,US
Saturday,12.0,2022-01-01,5,1,January,IN
Saturday,0.2,2022-01-01,5,1,January,GB
Saturday,18.6,2022-01-01,5,1,January,IN
Tuesday,3.0,2022-01-04,1,1,January,IN
Wednesday,3.6,2022-01-05,2,1,January,GB
Friday,0.5,2022-01-28,4,1,January,GB
Saturday,0.6,2022-01-01,5,1,January,GB
Saturday,1.9,2022-01-01,5,1,January,EG
Saturday,0.5,2022-01-01,5,1,January,US
Wednesday,14.5,2022-01-05,2,1,January,US
Tuesday,11.1,2022-01-04,1,1,January,US
Friday,4.4,2022-03-18,4,3,March,US
Saturday,0.3,2022-01-01,5,1,January,EG
Saturday,0.7,2022-01-01,5,1,January,GB
Saturday,62.0,2022-01-01,5,1,January,US
Saturday,11.2,2022-01-01,5,1,January,EG
Saturday,6.6,2022-01-01,5,1,January,NG
Sunday,12.3,2022-01-02,6,1,January,NG
Saturday,9.3,2022-01-01,5,1,January,US
Monday,3.6,2022-01-03,0,1,January,NG
Saturday,17.6,2022-01-15,5,1,January,EG
Sunday,74.8,2022-01-16,6,1,January,EG
Saturday,2.3,2022-01-22,5,1,January,EG
Sunday,6.7,2022-02-13,6,2,February,EG
Saturday,35.7,2022-01-29,5,1,January,EG
Thursday,18.4,2022-03-10,3,3,March,EG
Sunday,2.7,2022-01-02,6,1,January,EG
Friday,11.6,2022-01-07,4,1,January,EG
Saturday,80.6,2022-01-08,5,1,January,EG
Monday,12.3,2022-04-25,0,4,April,EG
Saturday,15.0,2022-01-01,5,1,January,US
Sunday,205.8,2022-01-02,6,1,January,US
Monday,138.5,2022-01-03,0,1,January,US
Tuesday,7.4,2022-01-11,1,1,January,US
Wednesday,41.5,2022-01-12,2,1,January,US
Monday,6.3,2022-01-17,0,1,January,US
Tuesday,71.8,2022-01-18,1,1,January,US
Thursday,28.4,2022-01-20,3,1,January,US
Tuesday,38.4,2022-01-25,1,1,January,US
Friday,5.7,2022-01-14,4,1,January,US
Sunday,6.6,2022-01-02,6,1,January,EG
Friday,3.9,2022-01-07,4,1,January,IN
Sunday,11.5,2022-01-09,6,1,January,IN
Saturday,0.1,2022-01-08,5,1,January,IN
Thursday,60.6,2022-05-19,3,5,May,US
Tuesday,3.4,2022-07-05,1,7,July,US
Wednesday,52.4,2022-07-06,2,7,July,US
Thursday,12.6,2022-07-07,3,7,July,US
Sunday,45.5,2022-01-02,6,1,January,US
Monday,100.0,2022-01-03,0,1,January,US
Thursday,28.8,2022-01-27,3,1,January,US
Friday,70.9,2022-02-11,4,2,February,US
Saturday,0.4,2022-02-12,5,2,February,US
Saturday,47.0,2022-02-26,5,2,February,US
Friday,0.2,2022-03-11,4,3,March,US
Sunday,0.1,2022-03-13,6,3,March,US
Wednesday,37.2,2022-04-27,2,4,April,US
Tuesday,132.3,2022-05-17,1,5,May,US
Friday,64.1,2022-07-08,4,7,July,US
Monday,22.2,2022-02-28,0,2,February,US
Tuesday,3.7,2022-03-08,1,3,March,US
Saturday,28.1,2022-07-09,5,7,July,US
Sunday,19.3,2022-07-10,6,7,July,US
Wednesday,55.7,2022-05-18,2,5,May,US
Monday,79.2,2022-07-11,0,7,July,US
Tuesday,44.4,2022-07-12,1,7,July,US
Tuesday,2.3,2022-06-28,1,6,June,US
Wednesday,32.5,2022-07-13,2,7,July,US
Thursday,31.4,2022-07-14,3,7,July,US
Wednesday,20.4,2022-07-20,2,7,July,US
Friday,21.7,2022-07-15,4,7,July,US
Thursday,8.5,2022-07-21,3,7,July,US
Saturday,14.7,2022-07-16,5,7,July,US
Wednesday,87.1,2022-01-05,2,1,January,US
Wednesday,5.1,2022-03-09,2,3,March,US
Tuesday,29.2,2022-04-19,1,4,April,US
Thursday,5.8,2022-03-10,3,3,March,US
Tuesday,126.3,2022-01-04,1,1,January,US
Thursday,32.9,2022-04-21,3,4,April,US
Wednesday,0.1,2022-04-20,2,4,April,US
Thursday,5.5,2022-03-17,3,3,March,US
Friday,1.5,2022-03-18,4,3,March,US
Saturday,26.2,2022-04-09,5,4,April,US
Monday,40.5,2022-04-11,0,4,April,US
Sunday,63.5,2022-04-10,6,4,April,US
Sunday,6.6,2022-01-02,6,1,January,US
Tuesday,43.2,2022-01-04,1,1,January,US
Wednesday,60.9,2022-01-05,2,1,January,US
Wednesday,2.4,2022-07-06,2,7,July,US
Tuesday,22.8,2022-07-19,1,7,July,US
Thursday,5.5,2022-01-20,3,1,January,US
Monday,1.4,2022-02-07,0,2,February,US
Wednesday,11.4,2022-02-16,2,2,February,US
Monday,2.9,2022-06-27,0,6,June,US
Sunday,5.0,2022-07-03,6,7,July,US
Thursday,9.2,2022-09-15,3,9,September,US
Sunday,25.7,2022-01-09,6,1,January,US
Tuesday,1.2,2022-07-26,1,7,July,US
Sunday,19.4,2022-01-02,6,1,January,US
Monday,6.4,2022-01-03,0,1,January,US
Monday,3.5,2022-01-10,0,1,January,US
Saturday,0.4,2022-01-22,5,1,January,EG
Wednesday,123.1,2022-02-02,2,2,February,EG
Tuesday,35.6,2022-01-04,1,1,January,EG
Wednesday,0.6,2022-03-09,2,3,March,EG
Thursday,62.1,2022-02-03,3,2,February,EG
Wednesday,94.7,2022-01-19,2,1,January,EG
Monday,30.5,2022-01-17,0,1,January,EG
Sunday,16.4,2022-02-06,6,2,February,EG
Saturday,0.1,2022-02-05,5,2,February,EG
Sunday,5.1,2022-01-02,6,1,January,IN
Tuesday,0.6,2022-08-02,1,8,August,IN
Tuesday,33.8,2022-03-01,1,3,March,US
Wednesday,10.0,2022-03-02,2,3,March,US
Monday,1.5,2022-01-03,0,1,January,US
Monday,4.3,2022-01-17,0,1,January,US
Sunday,21.1,2022-01-02,6,1,January,IN
Wednesday,4.4,2022-01-12,2,1,January,IN
Sunday,10.8,2022-01-02,6,1,January,US
Sunday,0.1,2022-01-02,6,1,January,IN
Wednesday,29.9,2022-01-26,2,1,January,EG
Thursday,12.0,2022-01-27,3,1,January,EG
Sunday,13.1,2022-01-02,6,1,January,EG
Tuesday,0.1,2022-01-04,1,1,January,EG
Monday,7.8,2022-03-21,0,3,March,EG
Saturday,19.8,2022-03-26,5,3,March,EG
Monday,7.9,2022-03-28,0,3,March,EG
Monday,12.3,2022-05-02,0,5,May,IN
Tuesday,55.9,2022-05-03,1,5,May,IN
Thursday,15.7,2022-05-05,3,5,May,IN
Wednesday,95.7,2022-07-06,2,7,July,IN
Monday,64.7,2022-07-11,0,7,July,IN
Tuesday,63.0,2022-07-12,1,7,July,IN
Wednesday,53.4,2022-07-13,2,7,July,IN
Thursday,52.1,2022-07-14,3,7,July,IN
Friday,10.7,2022-07-15,4,7,July,IN
Monday,36.4,2022-07-18,0,7,July,IN
Tuesday,0.1,2022-08-02,1,8,August,IN
Monday,49.5,2022-05-09,0,5,May,IN
Thursday,14.8,2022-03-31,3,3,March,IN
Friday,24.4,2022-04-15,4,4,April,IN
Monday,82.0,2022-04-18,0,4,April,IN
Saturday,41.5,2022-04-23,5,4,April,IN
Sunday,44.7,2022-05-01,6,5,May,IN
Sunday,0.1,2022-01-02,6,1,January,IN
Sunday,0.1,2022-01-02,6,1,January,EG
Sunday,1.5,2022-01-02,6,1,January,IN
Sunday,5.2,2022-01-02,6,1,January,US
Sunday,20.3,2022-01-02,6,1,January,US
Sunday,0.3,2022-01-02,6,1,January,IN
Sunday,65.1,2022-01-02,6,1,January,GB
Monday,16.0,2022-01-03,0,1,January,GB
Monday,14.0,2022-01-10,0,1,January,GB
Sunday,8.4,2022-01-02,6,1,January,NG
Sunday,0.5,2022-01-02,6,1,January,IN
Sunday,1.1,2022-01-02,6,1,January,US
Thursday,9.1,2022-04-21,3,4,April,GB
Sunday,53.6,2022-01-02,6,1,January,GB
Tuesday,43.5,2022-01-04,1,1,January,GB
Monday,1.5,2022-02-21,0,2,February,GB
Wednesday,4.4,2022-02-23,2,2,February,GB
Tuesday,14.1,2022-03-01,1,3,March,GB
Monday,15.2,2022-04-18,0,4,April,GB
Tuesday,111.1,2022-04-19,1,4,April,GB
Wednesday,52.8,2022-04-20,2,4,April,GB
Saturday,92.7,2022-02-26,5,2,February,GB
Sunday,33.1,2022-04-03,6,4,April,GB
Saturday,8.4,2022-03-19,5,3,March,GB
Wednesday,13.1,2022-03-09,2,3,March,GB
Friday,18.7,2022-03-18,4,3,March,GB
Sunday,20.2,2022-03-27,6,3,March,GB
Thursday,21.8,2022-03-31,3,3,March,GB
Wednesday,1.1,2022-05-11,2,5,May,GB
Wednesday,57.7,2022-04-06,2,4,April,GB
Thursday,4.9,2022-04-07,3,4,April,GB
Saturday,79.3,2022-04-09,5,4,April,GB
Friday,108.5,2022-04-15,4,4,April,GB
Saturday,70.2,2022-04-16,5,4,April,GB
Sunday,75.7,2022-04-17,6,4,April,GB
Friday,74.5,2022-01-14,4,1,January,GB
Saturday,125.6,2022-01-15,5,1,January,GB
Sunday,76.0,2022-01-16,6,1,January,GB
Monday,87.2,2022-01-17,0,1,January,GB
Tuesday,40.1,2022-01-18,1,1,January,GB
Wednesday,7.3,2022-01-19,2,1,January,GB
Thursday,26.2,2022-01-20,3,1,January,GB
Saturday,59.0,2022-01-22,5,1,January,GB
Sunday,70.6,2022-01-23,6,1,January,GB
Thursday,28.0,2022-01-27,3,1,January,GB
Friday,17.0,2022-02-04,4,2,February,GB
Friday,1.0,2022-01-28,4,1,January,GB
Thursday,1.9,2022-02-03,3,2,February,GB
Saturday,15.6,2022-02-05,5,2,February,GB
Sunday,69.9,2022-02-06,6,2,February,GB
Tuesday,22.1,2022-02-08,1,2,February,GB
Wednesday,102.9,2022-03-02,2,3,March,GB
Thursday,5.0,2022-01-13,3,1,January,GB
Wednesday,7.7,2022-01-05,2,1,January,GB
Thursday,46.0,2022-03-03,3,3,March,GB
Saturday,34.3,2022-03-12,5,3,March,GB
Tuesday,0.1,2022-03-15,1,3,March,GB
Friday,5.8,2022-03-11,4,3,March,GB
Wednesday,34.4,2022-03-16,2,3,March,GB
Sunday,36.5,2022-03-13,6,3,March,GB
Monday,28.2,2022-03-14,0,3,March,GB
Thursday,0.2,2022-03-17,3,3,March,GB
Friday,3.5,2022-04-22,4,4,April,GB
Sunday,1.1,2022-01-02,6,1,January,EG
Tuesday,0.7,2022-01-04,1,1,January,IN
Monday,18.0,2022-01-03,0,1,January,EG
Sunday,9.0,2022-01-02,6,1,January,EG
Sunday,2.3,2022-01-02,6,1,January,GB
Monday,13.0,2022-01-03,0,1,January,GB
Tuesday,22.8,2022-01-04,1,1,January,GB
Wednesday,27.3,2022-01-05,2,1,January,GB
Thursday,2.2,2022-01-06,3,1,January,GB
Monday,20.8,2022-01-10,0,1,January,GB
Monday,23.2,2022-04-04,0,4,April,GB
Sunday,11.4,2022-04-10,6,4,April,GB
Monday,3.9,2022-04-11,0,4,April,GB
Tuesday,22.4,2022-04-12,1,4,April,GB
Wednesday,13.2,2022-04-13,2,4,April,GB
Friday,4.2,2022-04-15,4,4,April,GB
Saturday,73.6,2022-04-16,5,4,April,GB
Sunday,6.3,2022-04-17,6,4,April,GB
Monday,38.2,2022-04-18,0,4,April,GB
Saturday,19.4,2022-04-23,5,4,April,GB
Monday,31.7,2022-04-25,0,4,April,GB
Saturday,28.5,2022-04-30,5,4,April,GB
Monday,16.4,2022-05-02,0,5,May,GB
Monday,36.1,2022-01-17,0,1,January,GB
Tuesday,9.2,2022-01-18,1,1,January,GB
Monday,19.1,2022-01-24,0,1,January,GB
Tuesday,1.3,2022-03-08,1,3,March,GB
Wednesday,20.6,2022-03-09,2,3,March,GB
Friday,10.7,2022-03-11,4,3,March,GB
Sunday,49.4,2022-03-13,6,3,March,GB
Monday,7.4,2022-03-14,0,3,March,GB
Friday,15.6,2022-03-18,4,3,March,GB
Tuesday,9.9,2022-03-29,1,3,March,GB
Sunday,28.6,2022-01-02,6,1,January,GB
Sunday,3.3,2022-01-02,6,1,January,EG
Tuesday,15.4,2022-01-11,1,1,January,NG
Thursday,3.5,2022-01-13,3,1,January,NG
Sunday,15.2,2022-01-16,6,1,January,NG
Sunday,0.2,2022-01-09,6,1,January,NG
Thursday,6.5,2022-06-30,3,6,June,EG
Saturday,3.6,2022-01-08,5,1,January,US
Monday,4.6,2022-01-10,0,1,January,US
Thursday,48.7,2022-01-13,3,1,January,US
Friday,35.2,2022-01-14,4,1,January,US
Sunday,8.0,2022-01-16,6,1,January,US
Monday,67.3,2022-01-17,0,1,January,US
Thursday,5.5,2022-01-27,3,1,January,US
Friday,1.2,2022-01-28,4,1,January,US
Sunday,72.0,2022-01-02,6,1,January,US
Monday,26.8,2022-01-03,0,1,January,US
Tuesday,2.2,2022-01-04,1,1,January,US
Wednesday,116.8,2022-01-05,2,1,January,US
Thursday,10.3,2022-01-06,3,1,January,US
Sunday,0.1,2022-01-02,6,1,January,EG
Monday,2.8,2022-08-15,0,8,August,EG
Wednesday,8.6,2022-08-17,2,8,August,EG
Saturday,26.2,2022-08-20,5,8,August,EG
Thursday,127.6,2022-08-18,3,8,August,EG
Sunday,29.4,2022-08-21,6,8,August,EG
Sunday,0.4,2022-01-02,6,1,January,US
Tuesday,39.6,2022-04-19,1,4,April,US
Monday,0.1,2022-01-31,0,1,January,US
Saturday,4.8,2022-04-23,5,4,April,US
Saturday,16.1,2022-04-30,5,4,April,US
Wednesday,8.9,2022-02-02,2,2,February,US
Monday,2.0,2022-01-03,0,1,January,IN
Monday,8.4,2022-01-03,0,1,January,IN
Sunday,19.8,2022-01-09,6,1,January,US
Monday,1.2,2022-01-03,0,1,January,US
Thursday,9.2,2022-01-06,3,1,January,US
Monday,9.5,2022-01-03,0,1,January,US
Monday,4.7,2022-01-03,0,1,January,US
Monday,0.4,2022-01-03,0,1,January,IN
Monday,40.4,2022-02-07,0,2,February,US
Wednesday,38.9,2022-02-09,2,2,February,US
Thursday,18.3,2022-02-10,3,2,February,US
Wednesday,10.8,2022-02-16,2,2,February,US
Friday,38.6,2022-02-25,4,2,February,US
Saturday,14.7,2022-02-26,5,2,February,US
Wednesday,42.2,2022-03-02,2,3,March,US
Monday,168.7,2022-03-07,0,3,March,US
Friday,8.8,2022-03-18,4,3,March,US
Wednesday,13.3,2022-03-30,2,3,March,US
Thursday,15.4,2022-03-31,3,3,March,US
Sunday,6.7,2022-02-20,6,2,February,US
Monday,1.2,2022-02-21,0,2,February,US
Saturday,22.7,2022-01-15,5,1,January,US
Sunday,31.1,2022-01-16,6,1,January,US
Monday,0.3,2022-06-20,0,6,June,US
Tuesday,130.2,2022-01-18,1,1,January,US
Wednesday,38.4,2022-01-19,2,1,January,US
Monday,74.4,2022-01-24,0,1,January,US
Monday,10.2,2022-01-03,0,1,January,IN
Monday,0.2,2022-01-03,0,1,January,IN
Saturday,118.2,2022-01-08,5,1,January,NG
Monday,10.5,2022-01-31,0,1,January,NG
Tuesday,27.7,2022-01-04,1,1,January,NG
Monday,0.9,2022-01-03,0,1,January,IN
Monday,5.3,2022-01-03,0,1,January,IN
Tuesday,28.6,2022-01-04,1,1,January,IN
Wednesday,7.1,2022-01-05,2,1,January,IN
Thursday,40.2,2022-01-06,3,1,January,IN
Monday,10.6,2022-01-03,0,1,January,IN
Monday,10.0,2022-01-03,0,1,January,IN
Monday,3.0,2022-01-03,0,1,January,EG
Saturday,96.1,2022-01-08,5,1,January,EG
Friday,0.1,2022-01-21,4,1,January,IN
Monday,0.3,2022-01-03,0,1,January,IN
Friday,19.8,2022-05-27,4,5,May,IN
Monday,1.1,2022-01-03,0,1,January,US
Monday,13.7,2022-01-03,0,1,January,IN
Monday,60.2,2022-01-03,0,1,January,GB
Tuesday,60.0,2022-01-04,1,1,January,GB
Monday,55.1,2022-03-28,0,3,March,GB
Wednesday,64.1,2022-01-05,2,1,January,GB
Tuesday,28.9,2022-03-29,1,3,March,GB
Wednesday,32.6,2022-03-30,2,3,March,GB
Thursday,6.5,2022-03-31,3,3,March,GB
Thursday,61.9,2022-01-06,3,1,January,GB
Friday,60.3,2022-01-07,4,1,January,GB
Friday,1.0,2022-04-01,4,4,April,GB
Sunday,30.5,2022-03-20,6,3,March,GB
Monday,33.4,2022-03-21,0,3,March,GB
Tuesday,30.9,2022-03-22,1,3,March,GB
Thursday,35.2,2022-03-24,3,3,March,GB
Sunday,12.2,2022-04-03,6,4,April,GB
Tuesday,32.2,2022-04-05,1,4,April,GB
Wednesday,33.4,2022-04-06,2,4,April,GB
Tuesday,4.6,2022-04-12,1,4,April,GB
Monday,33.4,2022-04-04,0,4,April,GB
Saturday,41.1,2022-04-09,5,4,April,GB
Sunday,35.8,2022-01-30,6,1,January,GB
Monday,30.5,2022-01-31,0,1,January,GB
Wednesday,4.5,2022-03-16,2,3,March,GB
Thursday,14.2,2022-03-17,3,3,March,GB
Saturday,41.7,2022-03-19,5,3,March,GB
Monday,29.4,2022-05-23,0,5,May,GB
Tuesday,30.2,2022-02-01,1,2,February,GB
Thursday,30.1,2022-02-03,3,2,February,GB
Saturday,32.6,2022-02-05,5,2,February,GB
Sunday,31.9,2022-02-06,6,2,February,GB
Tuesday,31.4,2022-02-08,1,2,February,GB
Thursday,44.5,2022-02-10,3,2,February,GB
Friday,33.0,2022-02-18,4,2,February,GB
Wednesday,44.5,2022-02-23,2,2,February,GB
Saturday,34.5,2022-03-05,5,3,March,GB
Wednesday,35.4,2022-02-09,2,2,February,GB
Sunday,48.5,2022-02-20,6,2,February,GB
Monday,35.6,2022-02-07,0,2,February,GB
Monday,32.3,2022-02-21,0,2,February,GB
Friday,36.0,2022-02-25,4,2,February,GB
Saturday,46.2,2022-02-26,5,2,February,GB
Sunday,72.0,2022-02-27,6,2,February,GB
Wednesday,37.6,2022-03-02,2,3,March,GB
Thursday,40.7,2022-03-03,3,3,March,GB
Friday,54.4,2022-03-04,4,3,March,GB
Monday,41.4,2022-02-28,0,2,February,GB
Sunday,42.6,2022-03-06,6,3,March,GB
Monday,30.8,2022-03-07,0,3,March,GB
Wednesday,31.7,2022-03-09,2,3,March,GB
Thursday,54.2,2022-03-10,3,3,March,GB
Saturday,47.5,2022-03-12,5,3,March,GB
Sunday,40.4,2022-04-10,6,4,April,GB
Monday,33.8,2022-04-11,0,4,April,GB
Thursday,0.5,2022-04-14,3,4,April,GB
Friday,72.6,2022-04-15,4,4,April,GB
Friday,32.2,2022-03-25,4,3,March,GB
Sunday,36.4,2022-01-16,6,1,January,GB
Saturday,61.0,2022-01-08,5,1,January,GB
Sunday,60.4,2022-01-09,6,1,January,GB
Monday,60.6,2022-01-10,0,1,January,GB
Thursday,61.7,2022-01-13,3,1,January,GB
Friday,64.6,2022-01-14,4,1,January,GB
Tuesday,0.1,2022-01-11,1,1,January,GB
Saturday,60.9,2022-01-15,5,1,January,GB
Monday,60.3,2022-01-17,0,1,January,GB
Tuesday,31.5,2022-01-18,1,1,January,GB
Wednesday,33.4,2022-01-26,2,1,January,GB
Friday,47.8,2022-01-28,4,1,January,GB
Wednesday,32.3,2022-01-19,2,1,January,GB
Thursday,33.3,2022-01-20,3,1,January,GB
Friday,30.3,2022-01-21,4,1,January,GB
Saturday,37.4,2022-01-22,5,1,January,GB
Sunday,30.1,2022-01-23,6,1,January,GB
Monday,35.2,2022-01-24,0,1,January,GB
Tuesday,32.2,2022-01-25,1,1,January,GB
Sunday,22.7,2022-01-30,6,1,January,IN
Monday,3.3,2022-01-03,0,1,January,IN
Friday,0.1,2022-02-25,4,2,February,IN
Sunday,2.0,2022-02-27,6,2,February,IN
Wednesday,17.4,2022-01-05,2,1,January,US
Friday,40.4,2022-01-07,4,1,January,US
Saturday,10.8,2022-01-08,5,1,January,US
Monday,0.7,2022-01-03,0,1,January,NG
Saturday,57.9,2022-01-08,5,1,January,IN
Monday,2.1,2022-01-03,0,1,January,IN
Monday,41.6,2022-01-03,0,1,January,IN
Friday,21.0,2022-04-15,4,4,April,IN
Thursday,3.4,2022-04-14,3,4,April,IN
Monday,5.6,2022-01-03,0,1,January,IN
Monday,2.1,2022-01-03,0,1,January,US
Monday,3.3,2022-01-03,0,1,January,IN
Tuesday,138.2,2022-01-04,1,1,January,US
Monday,79.7,2022-01-03,0,1,January,US
Wednesday,84.0,2022-01-05,2,1,January,US
Monday,42.4,2022-01-10,0,1,January,US
Tuesday,8.2,2022-01-11,1,1,January,US
Wednesday,16.2,2022-01-12,2,1,January,US
Thursday,9.2,2022-01-13,3,1,January,US
Monday,2.4,2022-01-03,0,1,January,EG
Monday,0.5,2022-01-03,0,1,January,EG
Monday,0.7,2022-01-03,0,1,January,EG
Tuesday,1.2,2022-01-04,1,1,January,US
Tuesday,67.6,2022-01-04,1,1,January,US
Wednesday,83.8,2022-01-26,2,1,January,US
Friday,14.9,2022-01-28,4,1,January,US
Wednesday,27.3,2022-01-05,2,1,January,US
Thursday,107.1,2022-02-03,3,2,February,US
Friday,16.1,2022-02-04,4,2,February,US
Tuesday,0.9,2022-02-08,1,2,February,US
Tuesday,7.4,2022-01-04,1,1,January,IN
